,street,city_state,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,url
389,130 Lakeshore Ct,"Richmond, CA 94804",479000,1Bed,1Bath,779Sq Ft,23 / 100,26 / 100,62 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Richmond/130-Lakeshore-Ct-94804/home/12128849
390,3462 Rossmoor Pkwy #3,"Walnut Creek, CA 94595",850000,2Beds,2Baths,"1,495Sq Ft",3 / 100,0 / 100,8 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Walnut-Creek/3462-Rossmoor-Pkwy-94595/unit-3/home/167235950
391,2354 Fairfield Ave,"Concord, CA 94520",599000,2Beds,1Bath,816Sq Ft,69 / 100,27 / 100,62 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/2354-Fairfield-Ave-94520/home/1743740
392,66 Brookwood Rd,"Orinda, CA 94563",999000,4Beds,3Baths,"1,425Sq Ft",40 / 100,0,31 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Orinda/66-Brookwood-Rd-94563/home/1682439
393,142 Iris Rd,"Hercules, CA 94547",788000,3Beds,2Baths,"1,316Sq Ft",18 / 100,0,11 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hercules/142-Iris-Rd-94547/home/1777072
394,2513 Tea Tree Ct,"Martinez, CA 94553",779000,3Beds,2.5Baths,"1,515Sq Ft",8 / 100,0,26 / 100,95Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Martinez/2513-Tea-Tree-Ct-94553/home/1876933
395,2816 Frayne Ln,"Concord, CA 94518",999000,4Beds,2.5Baths,"2,118Sq Ft",33 / 100,25 / 100,58 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/2816-Frayne-Ln-94518/home/1247095
396,719 Bourne Ct,"Danville, CA 94506",1988888,4Beds,3Baths,"3,369Sq Ft",0 / 100,0,5 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Danville/719-Bourne-Ct-94506/home/1669145
397,1709 Dalessi Dr,"PINOLE, CA 94564",398000,2Beds,1.5Baths,"1,302Sq Ft",56 / 100,0,42 / 100,80Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Pinole/1709-Dalessi-Dr-94564/home/1942851
398,16711 Marsh Creek Rd Unit F,"Clayton, CA 94517-9783",139000,1Bed,1Bath,400Sq Ft,7 / 100,0,0,0,https://www.redfin.com//CA/Clayton/16711-Marsh-Creek-Rd-94517/unit-F/home/179269481
399,260 Mara Pl,"San Ramon, CA 94583",1750000,4Beds,2.5Baths,"1,886Sq Ft",20 / 100,0,60 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Ramon/260-Mara-Pl-94583/home/1940844
400,2084 Lewis St,"Hercules, CA 94547",758000,3Beds,2.5Baths,"1,639Sq Ft",62 / 100,0,57 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hercules/2084-Lewis-St-94547/home/2108046
401,2707 Eastgate Ave,"Concord, CA 94520",699000,4Beds,1Bath,"1,539Sq Ft",46 / 100,27 / 100,65 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/2707-Eastgate-Ave-94520/home/1853953
402,3963 Franke Ln,"Lafayette, CA 94549",2695000,5Beds,4Baths,"3,150Sq Ft",15 / 100,0,34 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lafayette/3963-Franke-Ln-94549/home/1372170
403,1560 Pine St #2,"Concord, CA 94520",325000,2Beds,1Bath,800Sq Ft,57 / 100,42 / 100,63 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/1560-Pine-St-94520/unit-2/home/743808
404,1380 Washington Blvd,"Concord, CA 94521",769000,3Beds,2Baths,"1,131Sq Ft",75 / 100,28 / 100,42 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/1380-Washington-Blvd-94521/home/1231064
405,2222 Orange St,"Martinez, CA 94553",729000,4Beds,2Baths,"1,848Sq Ft",42 / 100,0,25 / 100,95Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Martinez/2222-Orange-St-94553/home/1735874
406,3636 Chestnut Ave,"Concord, CA 94519",969950,4Beds,3Baths,"2,306Sq Ft",71 / 100,30 / 100,49 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/3636-Chestnut-Ave-94519/home/693458
407,3831 Saint Moritz Dr,"Pittsburg, CA 94565",649000,3Beds,2Baths,"1,334Sq Ft",44 / 100,0,59 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Pittsburg/3831-St-Moritz-Dr-94565/home/1839934
408,56 Scotts Vly,"Hercules, CA 94547",730000,3Beds,2.5Baths,"1,507Sq Ft",24 / 100,0,27 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hercules/56-Scotts-Vly-94547/home/1849902
409,824 Dodd Ct,"Bay Point, CA 94565",568000,3Beds,2Baths,"1,101Sq Ft",4 / 100,0,13 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Bay-Point/824-Dodd-Ct-94565/home/676865
410,1813 Fillmore Way,"Concord, CA 94521",849000,3Beds,2Baths,"1,690Sq Ft",16 / 100,18 / 100,39 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/1813-Fillmore-Way-94521/home/1770292
411,868 WINDWARD Dr,"Rodeo, CA 94572-2029",850000,4Beds,3Baths,"2,267Sq Ft",21 / 100,0,11 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Rodeo/868-Windward-Dr-94572/home/1045090
412,30 Massolo Dr Unit E,"Pleasant Hill, CA 94523",529000,2Beds,2Baths,973Sq Ft,85 / 100,36 / 100,70 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Pleasant-Hill/30-Massolo-Dr-94523/unit-E/home/1319906
413,925 Autumn Brook Pl,"CONCORD, CA 94518",1349000,5Beds,3Baths,"2,725Sq Ft",29 / 100,29 / 100,43 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/925-Autumn-Brook-Pl-94518/home/168811977
414,42 Ardilla Rd,"Orinda, CA 94563",2795000,5Beds,5Baths,"3,479Sq Ft",24 / 100,0,42 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Orinda/42-Ardilla-Rd-94563/home/1954682
415,522 La Copita Ct,"San Ramon, CA 94583",685000,2Beds,1.5Baths,"1,064Sq Ft",56 / 100,0,56 / 100,95Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Ramon/522-La-Copita-Ct-94583/home/684167
416,48 Longwood Ct,"San Ramon, CA 94582",1730000,4Beds,2Baths,"2,017Sq Ft",42 / 100,0,68 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Ramon/48-Longwood-Ct-94582/home/961405
417,1336 Shell Ln,"Clayton, CA 94517",730000,3Beds,2.5Baths,"1,355Sq Ft",39 / 100,0,31 / 100,94Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Clayton/1336-Shell-Ln-94517/home/1742185
418,52 Bright Ln,"PITTSBURG, CA 94565",763370,3Beds,2.5Baths,"1,587Sq Ft",21 / 100,0,17 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/PITTSBURG/52-BRIGHT-LN-94565/home/176063513
419,3376 Moraga Blvd,"Lafayette, CA 94549",1050000,2Beds,1Bath,762Sq Ft,65 / 100,0,41 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lafayette/3376-Moraga-Blvd-94549/home/1962449
420,990 Condit Rd,"Lafayette, CA 94549",1850000,3Beds,3Baths,"2,163Sq Ft",19 / 100,0,61 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lafayette/990-Condit-Rd-94549/home/881714
421,1157 Honey Trl,"Walnut Creek, CA 94597",427500,1Bed,1Bath,708Sq Ft,58 / 100,0,76 / 100,85Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Walnut-Creek/1157-Honey-Trl-94597/home/591036
422,4630 Duarte Ave,"Oakley, CA 94561",685000,4Beds,2.5Baths,"1,703Sq Ft",53 / 100,0,48 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakley/4630-Duarte-Ave-94561/home/1981956
423,478 Rheem Blvd,"Moraga, CA 94556",795000,2Beds,1Bath,"1,170Sq Ft",38 / 100,0,41 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Moraga/478-Rheem-Blvd-94556/home/1051690
424,9592 Ernwood St,"San Ramon, CA 94583",1698000,4Beds,3Baths,"1,715Sq Ft",42 / 100,0,56 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Ramon/9592-Ernwood-St-94583/home/1696061
425,2494 Bluerock Dr,"Antioch, CA 94531",804900,4Beds,3Baths,"3,002Sq Ft",15 / 100,27 / 100,6 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Antioch/2494-Bluerock-Dr-94531/home/1002997
426,1707 Pepperwood Ct,"Concord, CA 94521-1125",999000,4Beds,2.5Baths,"2,161Sq Ft",46 / 100,27 / 100,65 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Concord/1707-Pepperwood-Ct-94521/home/703295
427,139 Wexford St,"BRENTWOOD, CA 94513",765000,3Beds,2.5Baths,"1,914Sq Ft",67 / 100,0,67 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Brentwood/139-Wexford-St-94513/home/583434
428,3545 Leafwood Cir,"Antioch, CA 94531",620000,4Beds,2.5Baths,"1,675Sq Ft",35 / 100,36 / 100,35 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Antioch/3545-Leafwood-Cir-94531/home/575936
429,20 Carte Pl,"Pleasant Hill, CA 94523",1299000,4Beds,2.5Baths,"1,963Sq Ft",44 / 100,24 / 100,45 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Pleasant-Hill/20-Carte-Pl-94523/home/1321154
430,117 Julia Loop,"Danville, CA 94506",2588800,4Beds,4.5Baths,"3,085Sq Ft",29 / 100,0,38 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Danville/117-Julia-Lp-94506/home/168815998
431,90 Orchard Estates Dr,"Walnut Creek, CA 94598",3095000,5Beds,4Baths,"3,500Sq Ft",11 / 100,0 / 100,44 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Walnut-Creek/90-Orchard-Estates-Dr-94598/home/775522
432,101 Amigo Rd,"Danville, CA 94526",1879900,6Beds,3.5Baths,"2,662Sq Ft",62 / 100,0,66 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Danville/101-Amigo-Rd-94526/home/1426259
433,12 Hillside Rd,"Antioch, CA 94509",535000,3Beds,1Bath,"1,100Sq Ft",59 / 100,32 / 100,26 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Antioch/12-Hillside-Rd-94509/home/611955
434,655 Bourne Ct,"Danville, CA 94506",1998800,4Beds,3Baths,"3,460Sq Ft",0 / 100,0,5 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Danville/655-Bourne-Ct-94506/home/1869356
435,2408 Peppertree Ct #2,"Antioch, CA 94509",230000,2Beds,1Bath,903Sq Ft,53 / 100,33 / 100,59 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Antioch/2408-Peppertree-Ct-94509/unit-2/home/623166
436,1581 Dawnview Dr,"Brentwood, CA 94513",1195000,3Beds,2.5Baths,"3,302Sq Ft",26 / 100,0,42 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Brentwood/1581-Dawnview-Dr-94513/home/2103999
437,2809 Rio Secco,"Pittsburg, CA 94565",877000,4Beds,2.5Baths,"2,403Sq Ft",0 / 100,0,6 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Pittsburg/2809-Rio-Seco-Dr-94565/home/173064548
438,1825 Surfside Ct,"Discovery Bay, CA 94505",1375000,3Beds,2Baths,"1,773Sq Ft",18 / 100,0,28 / 100,69Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Discovery-Bay/1825-Surfside-Ct-94505/home/533821
439,1129 Brown Ave,"Lafayette, CA 94549",2500000,4Beds,3.5Baths,"3,339Sq Ft",6 / 100,0,10 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lafayette/1129-Brown-Ave-94549/home/1366858
440,1417 Croce Dr,"Escalon, CA 95320",625000,4Beds,2Baths,"2,109Sq Ft",19 / 100,0,33 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Escalon/1417-Croce-Dr-95320/home/19728430
441,2503 Valini Ln,"Lodi, CA 95240",480000,3Beds,2.5Baths,"1,722Sq Ft",44 / 100,0,47 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lodi/2503-Valini-Ln-95240/home/19025893
442,2309 N F St,"Stockton, CA 95205",310000,2Beds,1Bath,856Sq Ft,57 / 100,0,52 / 100,80Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/2309-N-F-St-95205/home/19034706
443,3508 Schooner Dr,"Stockton, CA 95219",524950,3Beds,2.5Baths,"1,826Sq Ft",21 / 100,28 / 100,33 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/3508-Schooner-Dr-95219/home/19846487
444,6110 Buckskin Pl,"Stockton, CA 95210",481000,4Beds,2Baths,"1,473Sq Ft",58 / 100,29 / 100,51 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/6110-Buckskin-Pl-95210/home/19827808
445,19505 Atkins Rd,"Lodi, CA 95240",1058750,—Beds,—Baths,30.25Acres (Lot),0 / 100,0,22 / 100,0,https://www.redfin.com//CA/Lodi/19505-Atkins-Rd-95240/home/25725813
446,10 N Garfield,"Lodi, CA 95240",335000,2Beds,1Bath,960Sq Ft,86 / 100,0,70 / 100,62Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lodi/10-N-Garfield-St-95240/home/19854546
447,1574 Wild Rose Pl,"Manteca, CA 95337",889950,5Beds,4Baths,"3,174Sq Ft",11 / 100,0,30 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/1574-Wild-Rose-Pl-95337/home/19730432
448,2008 Anders,"Manteca, CA 95337",687341,3Beds,2Baths,"1,520Sq Ft",0 / 100,0,26 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/2008-Anders-95337/home/179309006
449,1100 La Mesa St,"Escalon, CA 95320",399900,3Beds,2Baths,"1,102Sq Ft",64 / 100,0,51 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Escalon/1100-La-Mesa-St-95320/home/19764876
450,9921 S Lockhart Rd,"French Camp, CA 95231",610000,4Beds,2Baths,"1,700Sq Ft",0 / 100,0,30 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/French-Camp/9921-S-Lockhart-Rd-95231/home/19782284
451,2247 Westmora Ave,"Stockton, CA 95210",388000,4Beds,2Baths,"1,242Sq Ft",15 / 100,17 / 100,34 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/2247-Westmora-Ave-95210/home/19829222
452,509 Mylnar Ave,"Manteca, CA 95336",490000,3Beds,2Baths,"1,360Sq Ft",48 / 100,0,48 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/509-Mylnar-Ave-95336/home/19770831
453,672 Argonaut St,"Manteca, CA 95336",524900,3Beds,2Baths,"1,343Sq Ft",47 / 100,0,61 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/672-Argonaut-St-95336/home/19769998
454,8790 W Howard Rd,"Stockton, CA 95206",1750000,3Beds,3Baths,"4,029Sq Ft",0 / 100,0,25 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/8790-W-Howard-Rd-95206/home/19781609
455,1507 Calaveras Ct,"Manteca, CA 95336",825000,3Beds,2Baths,"1,950Sq Ft",39 / 100,0,40 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/1507-Calaveras-Ct-95336/home/19033185
456,20300 Sutliff Rd,"Escalon, CA 95320",1600000,3Beds,2.5Baths,"2,460Sq Ft",0 / 100,0,25 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Escalon/20300-Sutliff-Rd-95320/home/178254262
457,257 E Lawson Ave,"Mountain House, CA 95391",927000,4Beds,3Baths,"1,906Sq Ft",0 / 100,0,25 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Tracy/257-Lawson-Ave-95391/home/169265043
458,414 E Fremont St,"Stockton, CA 95202",90000,—Beds,—Baths,"3,485Sq Ft (Lot)",91 / 100,48 / 100,69 / 100,0,https://www.redfin.com//CA/Stockton/414-E-Fremont-St-95202/home/161162948
459,21 S Coolidge Ave,"Stockton, CA 95215",315000,3Beds,2Baths,"1,012Sq Ft",35 / 100,0,47 / 100,63Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/21-Coolidge-Ave-95215/home/19793684
460,4844 Ews Woods Blvd,"Stockton, CA 95206",614900,4Beds,2.5Baths,"2,172Sq Ft",6 / 100,21 / 100,33 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/4844-Ews-Woods-Blvd-95206/home/19736899
461,Undisclosed Address,"Stockton, CA 95204",205000,3Beds,2Baths,"1,318Sq Ft",75 / 100,25 / 100,50 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/Undisclosed-address-95204/home/19806611
462,1529 Michele Way,"Escalon, CA 95320",659000,4Beds,3Baths,"2,150Sq Ft",38 / 100,0,43 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Escalon/1529-Michele-Way-95320/home/19764186
463,1924 Hacienda Dr,"Stockton, CA 95209",340000,2Beds,2Baths,"1,111Sq Ft",64 / 100,16 / 100,55 / 100,44Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/1924-Hacienda-Dr-95209/home/19838123
464,1725 Gilchrist Ave,"Stockton, CA 95205",344000,3Beds,2Baths,"1,329Sq Ft",60 / 100,0,47 / 100,80Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/1725-Gilchrist-Ave-95205/home/19028891
465,Undisclosed Address,"Lathrop, CA 95330",952470,4Beds,3.5Baths,"3,101Sq Ft",0 / 100,0,25 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lathrop/Undisclosed-address-95330/home/179298210
466,459 N Orinda Ct,"Mountain House, CA 95391",865000,3Beds,2.5Baths,"1,730Sq Ft",4 / 100,0,31 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Tracy/459-N-Orinda-Ct-95391/home/22556055
467,1700 Vine St,"Lodi, CA 95242",599000,3Beds,2Baths,"1,430Sq Ft",41 / 100,0,39 / 100,85Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lodi/1700-W-Vine-St-95242/home/19860787
468,1627 Maude St,"Stockton, CA 95206",399000,5Beds,3Baths,"1,948Sq Ft",14 / 100,22 / 100,30 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/1627-Maude-St-95206/home/19741637
469,609 Santa Rosa St,"Manteca, CA 95336",540000,3Beds,2Baths,"1,349Sq Ft",59 / 100,0,63 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/609-Santa-Rosa-St-95336/home/19771892
470,5257 Vesta Cir,"Stockton, CA 95219",569999,4Beds,2.5Baths,"2,349Sq Ft",41 / 100,0,76 / 100,73Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/5257-Vesta-Cir-95219/home/22542648
471,300 Evergreen Dr,"Lodi, CA 95242",675000,4Beds,3Baths,"2,622Sq Ft",21 / 100,0,37 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lodi/300-Evergreen-Dr-95242/home/19858574
472,18870 Jordan Ln,"Woodbridge, CA 95258",485000,3Beds,2Baths,"1,439Sq Ft",35 / 100,0,44 / 100,68Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Woodbridge/18870-Jordan-Ln-95258/home/19862964
473,1611 Autumn Way,"Lodi, CA 95242",610000,4Beds,2.5Baths,"2,405Sq Ft",30 / 100,0,41 / 100,76Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lodi/1611-Autumn-Way-95242/home/19847364
474,1369 Laurel Dr,"MANTECA, CA 95336",799900,2Beds,2.5Baths,"3,200Sq Ft",3 / 100,0,29 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/1369-Laurel-Dr-95336/home/172935517
475,756 S Jack Tone Rd,"Ripon, CA 95366",535000,4Beds,2Baths,"1,457Sq Ft",30 / 100,0,43 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Ripon/756-S-Jack-Tone-Rd-95366/home/19747256
476,1304 Johanna Dr,"Ripon, CA 95366",589000,4Beds,3Baths,"1,660Sq Ft",37 / 100,0,51 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Ripon/1304-Johanna-Dr-95366/home/19748178
477,1918 Arlington Ct,"Manteca, CA 95337",759000,3Beds,3Baths,"2,656Sq Ft",11 / 100,0,31 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/1918-Arlington-Ct-95337/home/19719858
478,2941 Lonnie Beck,"Stockton, CA 95209",599900,3Beds,2.5Baths,"2,361Sq Ft",13 / 100,14 / 100,51 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/2941-Lonnie-Beck-Way-95209/home/19733588
479,6610 Crestview Cir,"Stockton, CA 95219",499000,3Beds,2Baths,"1,674Sq Ft",12 / 100,11 / 100,48 / 100,73Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/6610-Crestview-Cir-95219/home/19032215
480,1321 Buena Vista Ave,"Stockton, CA 95203",325000,2Beds,1Bath,"1,074Sq Ft",41 / 100,24 / 100,47 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/1321-Buena-Vista-Ave-95203/home/19803535
481,1708 W Rose St,"Stockton, CA 95203",420000,3Beds,1.5Baths,"1,450Sq Ft",50 / 100,24 / 100,50 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/1708-W-Rose-St-95203/home/19800736
482,726 N San Joaquin St,"Stockton, CA 95202",450000,5Beds,3.5Baths,"2,792Sq Ft",85 / 100,46 / 100,70 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/726-N-San-Joaquin-St-95202/home/19801256
483,8505 W Stockton St,"Thornton, CA 95686",649000,4Beds,2Baths,"2,300Sq Ft",29 / 100,0,41 / 100,0,https://www.redfin.com//CA/Thornton/8505-W-Stockton-St-95686/home/172914218
484,1570 Julian,"Stockton, CA 95206",420000,3Beds,2Baths,"1,090Sq Ft",55 / 100,32 / 100,60 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/1570-Julian-St-95206/home/19786690
485,402 Lexington,"Stockton, CA 95204",404500,2Beds,2Baths,"1,498Sq Ft",90 / 100,33 / 100,62 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/402-Lexington-Ave-95204/home/19809877
486,612 S Central Ave,"Stockton, CA 95204",389000,2Beds,1Bath,"1,241Sq Ft",84 / 100,32 / 100,59 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/612-S-Central-Ave-95204/home/19813479
487,104 E Atlee St,"Stockton, CA 95204",415000,3Beds,2Baths,"1,422Sq Ft",65 / 100,31 / 100,55 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/104-Atlee-St-95204/home/19036393
488,1913 Buena Vista Dr,"Manteca, CA 95337",895000,6Beds,3Baths,"3,170Sq Ft",11 / 100,0,32 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Manteca/1913-Buena-Vista-Dr-95337/home/19753778
489,1305 W Hammer Ln,"Stockton, CA 95209",415000,2Beds,3Baths,"1,537Sq Ft",78 / 100,0,53 / 100,44Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/1305-W-Hammer-Ln-95209/home/19844710
490,775 E Century Pl,"Lodi, CA 95240",415000,3Beds,2Baths,"1,368Sq Ft",51 / 100,0,48 / 100,63Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Lodi/775-E-Century-Pl-95240/home/19848292
491,3129 Five Mile Dr,"Stockton, CA 95219",439000,3Beds,2Baths,"1,359Sq Ft",21 / 100,27 / 100,34 / 100,70Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/3129-Five-Mile-Dr-95219/home/19824362
492,138 E Grove St,"Stockton, CA 95204",399500,3Beds,2Baths,"1,169Sq Ft",67 / 100,31 / 100,52 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/138-E-Grove-St-95204/home/19810890
493,4332 Pacific Ave #76,"Stockton, CA 95207",189900,1Bed,1Bath,594Sq Ft,73 / 100,34 / 100,80 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/4332-Pacific-Ave-95207/unit-76/home/19819746
494,2725 Cypress Ave,"Stockton, CA 95207",425000,3Beds,2Baths,"1,224Sq Ft",53 / 100,29 / 100,45 / 100,73Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/2725-Cypress-Ave-95207/home/19844230
495,8812 Lansdowne Dr,"Stockton, CA 95210",389000,3Beds,2Baths,"1,143Sq Ft",10 / 100,18 / 100,32 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/8812-Lansdowne-Dr-95210/home/19830486
496,424 Morada Ln,"Stockton, CA 95210",399900,3Beds,2Baths,"1,050Sq Ft",29 / 100,14 / 100,38 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/424-Morada-Ln-95210/home/19841653
497,1510 S Tuxedo Ave,"Stockton, CA 95204",599999,2Beds,2Baths,800Sq Ft,55 / 100,0,48 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/1510-S-Tuxedo-Ave-95204/home/19806088
498,4214 Spyglass Dr,"Stockton, CA 95219",895000,4Beds,3.5Baths,"2,849Sq Ft",0 / 100,0 / 100,34 / 100,70Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Stockton/4214-Spyglass-Dr-95219/home/19738986
499,1155 Poppy Hills Ct,"Tracy, CA 95377",899950,5Beds,3.5Baths,"2,968Sq Ft",24 / 100,18 / 100,41 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Tracy/1155-Poppy-Hills-Ln-95377/home/19734676
500,656 Cindy Dr,"Ripon, CA 95366",839000,4Beds,3Baths,"2,713Sq Ft",31 / 100,0,35 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Ripon/656-Cindy-Dr-95366/home/19726354
